SerialCard_Number,Expiry_Date,Customer_ID,Total_Amount,Current_Balance,Name,Verification_Code,Is_Default
53537906309888,2024-11-20,1,,,Valerie Mason,4464809438884.0,N
266276586504684,2024-11-29,2,,,Lisa Daniel,639071375815.0,Y
95636951825937,2024-11-14,3,,,Dylan Jackson,4007836223165.0,Y
45223429638335,2024-11-21,4,20.0,18.0,,,
274424675587389,2024-11-28,5,20.0,17.0,,,
268289601048264,2024-11-17,7,,,Paula Vance,30027132160216.0,Y
278593298942320,2024-12-05,9,40.0,26.0,,,
94399711783002,2024-12-09,12,100.0,81.0,,,
177235730911655,2024-12-14,13,100.0,21.0,,,
115251238914282,2024-12-05,14,30.0,15.0,,,
127771036470270,2024-11-14,15,30.0,8.0,,,
155783305282005,2024-12-03,16,,,Tracy May,213105323678946.0,N
266230332550718,2024-11-29,17,,,Robert Miller,3509716619008965.0,N
104087077708371,2024-11-21,18,40.0,36.0,,,
82997399538447,2024-11-20,19,,,Sarah Bauer,5291046251069936.0,N
238959813247434,2024-11-27,20,,,Kayla Mcknight,3537526569714082.0,N
135526154071307,2024-11-26,21,,,Mr. Charles Cooley,4065956594690.0,N
19726680886003,2024-12-08,22,,,Michele Williams,344677260193503.0,Y
279520956123665,2024-12-13,24,,,Samantha Short,4387166340404122.0,N
249877109442212,2024-11-26,25,,,Denise Davis,4942459483380136.0,Y
228455491642656,2024-11-21,26,30.0,9.0,,,
68650496186907,2024-11-28,27,40.0,11.0,,,
192747194265794,2024-11-21,28,,,James Shaw,4.1255966160693135e+18,N
163585941596646,2024-12-10,29,,,Adam Moses,3573312339928418.0,Y
189116260554065,2024-12-06,30,,,Joe Dawson,4.936075631280621e+18,Y
85134731556249,2024-11-30,31,40.0,39.0,,,
106838142716434,2024-12-09,33,30.0,25.0,,,
238590978793443,2024-12-02,35,,,Richard Ward,676251827819.0,N
66156385898887,2024-11-20,36,,,Laura Harvey,6011463389694005.0,N
32477521300478,2024-11-23,38,,,Jessica Peterson PhD,30032696399424.0,Y
45289589031505,2024-11-20,39,200.0,0.0,,,
100232835511706,2024-12-17,40,,,Misty Hubbard,4348902940149123.0,N
65970638381416,2024-12-15,41,,,John Jones,3514659080705441.0,Y
170503241640574,2024-12-08,42,,,Katrina Preston,349137636026650.0,N
222523762771416,2024-11-19,43,50.0,17.0,,,
169700227401773,2024-12-16,44,,,Tricia Sanchez,6011496404216446.0,Y
276586488842855,2024-11-13,45,,,Lisa Wallace,639098611994.0,Y
58334548607569,2024-12-01,46,30.0,3.0,,,
83488513056644,2024-11-17,48,50.0,12.0,,,
204783051073597,2024-12-05,49,,,Joshua Brandt,180022024223238.0,N
