Tracking_Number,Date_of_Delivery,Status,Delivery_Address,Order_Number
4f7351d4-a89d-4704-8b64-b82a9e1fe941,2024-09-28,postponed,"2919, Leach Ville, North Aarontown, Papua New Guinea, 10337",96328
7a0ca3f7-6536-491d-8fe0-b724f6cd8543,2024-01-19,cancelled,"502, Rodriguez Glens, Porterland, Bulgaria, 37935",71493
0156de5d-d597-4c03-9a64-74ce53dd8a5a,2023-12-29,delivered,"None, Jason Well, New Joan, Martinique, 84628",61943
46c5e422-7ad2-4466-82f8-5954c2e4ff78,2024-11-12,pending,"4530, Candace Inlet, Port Elizabeth, Brazil, 02440",49491
99cd17e1-4332-4b51-9c3f-014a06d2ff87,2024-06-02,postponed,"883, William Locks, Jamesborough, Saint Vincent and the Grenadines, 15153",51590
79d4b6ee-660a-40e9-a81f-f3a04f61d6c2,2024-06-10,delivered,"80351, Kevin Loop, North Theresa, Lithuania, 68785",57314
f0c52ba8-2787-40f0-86a5-3de4ebf4b0af,2024-06-26,postponed,"27446, Jacobs Hill, Cooperberg, Kiribati, 19502",53521
ab1476c8-b300-4ae3-84fb-a5f4a5c418af,2024-04-26,delivered,"5474, Ryan Forest, New Lukeport, Egypt, 39853",93146
5491020c-a538-4180-94fa-42ef19f6f0ea,2024-04-28,postponed,"777, Simmons Cliff, West Shelley, Greece, 14128",10446
daf06c01-90ec-4e6b-9189-cfe023a47e1e,2024-07-21,cancelled,"None, Jones Walks, Evanschester, Venezuela, 58254",87278
d978237d-7cec-4c5f-93f0-056e0c438e6b,2024-08-01,postponed,"None, Sara Village, South Anita, Kuwait, 48190",57190
74619522-2a18-467d-bbfc-39769e1a9904,2024-09-12,cancelled,"271, Duane Streets, East Courtneyfort, United Kingdom, 91424",44801
28b8c31a-53c7-4022-8e8f-1dc42f1fd7e4,2024-05-09,cancelled,"4023, Lewis Avenue, Lake Benjaminmouth, Finland, 29656",20917
61902df9-129d-45d7-af13-4c0914512da7,2024-06-25,cancelled,"None, Cortez Rapid, Morganland, Cook Islands, 23458",22953
6a64e420-da90-41e6-9f1d-2acac2545523,2024-08-03,pending,"None, Villarreal Crest, Lake Michaelfort, Palestinian Territory, 52233",81259
d42d4272-a8d3-47b2-adfb-46469c602df4,2024-06-09,delivered,"None, Johnson Dam, Reedhaven, Indonesia, 79432",77655
b423a1cd-59e7-4b0f-9b81-8a7a3c85b19c,2024-08-17,postponed,"None, Frances Locks, East Jacobberg, Montenegro, 44936",64722
7b4a1f09-332c-4f41-b344-fb503976fd7e,2024-08-19,cancelled,"None, Lindsay Trace, Port Heather, Czech Republic, 36237",78926
7be5bb98-f393-4c34-ad4d-0f76fde44fda,2024-05-14,delivered,"01537, James Bypass, Andersonfort, Bahrain, 07050",70074
8e80a998-6eec-4062-b7e8-63b758f2ffce,2024-05-27,delivered,"143, Smith Lock, Lake Brianabury, Bahrain, 55442",56488
efd12af4-2f1a-4597-9c3e-b7979c3f8982,2024-03-14,cancelled,"None, Jessica Flats, New Christopher, Central African Republic, 08564",82346
