SerialCard_Number,Expiry_Date,Customer_ID
53537906309888,2024-11-20,1
266276586504684,2024-11-29,2
95636951825937,2024-11-14,3
45223429638335,2024-11-21,4
274424675587389,2024-11-28,5
268289601048264,2024-11-17,7
278593298942320,2024-12-05,9
94399711783002,2024-12-09,12
177235730911655,2024-12-14,13
115251238914282,2024-12-05,14
127771036470270,2024-11-14,15
155783305282005,2024-12-03,16
266230332550718,2024-11-29,17
104087077708371,2024-11-21,18
82997399538447,2024-11-20,19
238959813247434,2024-11-27,20
135526154071307,2024-11-26,21
19726680886003,2024-12-08,22
279520956123665,2024-12-13,24
249877109442212,2024-11-26,25
228455491642656,2024-11-21,26
68650496186907,2024-11-28,27
192747194265794,2024-11-21,28
163585941596646,2024-12-10,29
189116260554065,2024-12-06,30
85134731556249,2024-11-30,31
106838142716434,2024-12-09,33
238590978793443,2024-12-02,35
66156385898887,2024-11-20,36
32477521300478,2024-11-23,38
45289589031505,2024-11-20,39
100232835511706,2024-12-17,40
65970638381416,2024-12-15,41
170503241640574,2024-12-08,42
222523762771416,2024-11-19,43
169700227401773,2024-12-16,44
276586488842855,2024-11-13,45
58334548607569,2024-12-01,46
83488513056644,2024-11-17,48
204783051073597,2024-12-05,49
